GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu
AGAP005330	0.102	0.142	0.004	0.053	0.983	0.003	0.655	0.22	0.85	0.96	0.963	0.165	0.142	0.337	0.323	0.426	0.46	0.0
AGAP002554	0.102	0.159	0.0	0.253	0.996	0.672	0.051	0.389	0.054	0.499	0.99	0.914	0.6	0.083	0.536	0.275	0.648	0.0
AGAP011939	0.102	0.106	0.654	0.709	0.005	0.401	0.157	0.027	0.0	0.0	0.031	0.004	0.006	0.0	0.215	0.554	0.0	0.0
AGAP000099	0.102	0.037	0.779	0.617	0.916	0.924	0.154	0.594	0.772	0.027	0.277	0.15	0.343	0.0	0.036	0.516	0.523	0.0
AGAP000292	0.103	0.074	0.594	0.05	0.529	0.38	0.0	0.025	0.065	0.001	0.0	0.03	0.004	0.11	0.025	0.133	0.05	0.008
AGAP007937	0.103	0.494	0.027	0.833	0.688	0.721	0.973	0.679	0.658	0.048	0.307	0.243	0.845	0.063	0.403	0.32	0.718	0.0
AGAP028751	0.103			0.393	0.549		0.779									0.985		0.785
AGAP005530	0.103	0.03	0.0	0.403	0.014	0.727	0.098	0.001	0.0	0.893	0.003	0.883	0.002	0.711	0.0	0.331	0.086	0.0
AGAP002683	0.103	0.532	0.269	0.706	0.033	0.879	0.212	0.011	0.003	0.527	0.001	0.886	0.009	0.685	0.048	0.002	0.0	0.174
AGAP007970	0.103	0.299	0.0	0.382	0.386	0.199	0.597	0.796	0.52	0.109	0.999	0.574	0.456	0.969	0.269	0.637	0.011	0.0
AGAP010332	0.103	0.534	0.006	0.0	0.016	0.328	0.23	0.533	0.289	0.862	0.933	0.438	0.288	0.341	0.244	0.886	0.742	0.0
AGAP009196	0.103	0.0	0.0	0.0	0.158	0.004	0.026	0.502	0.289	0.0	0.244	0.0	0.803	0.0	0.89	0.724	0.312	0.0
AGAP005622	0.103	0.0	0.19	0.414	0.018	0.489	0.003	0.086	0.249	0.014	0.621	0.02	0.645	0.003	0.288	0.147	0.854	0.0
AGAP006688	0.103	0.953	0.896	0.094	0.344	0.689	0.4	0.84	0.611	0.489	0.021	0.375	0.003	0.482	0.008	0.447	0.1	0.016
AGAP001923	0.103	0.022	0.738	0.0	0.192	0.03	0.004	0.005	0.037	0.19	0.126	0.752	0.67	0.474	0.4	0.0	0.046	0.038
AGAP000120	0.104	0.918	0.155	0.002	0.004	0.685	0.44	0.516	0.566	0.764	0.02	0.897	0.001	0.15	0.203	0.234	0.958	0.076
AGAP003532	0.104	0.541	0.0	0.268	0.921	0.809	0.08	0.511	0.394	0.536	0.83	0.485	0.872	0.789	0.886	0.851	0.915	0.003
AGAP007210	0.104	0.167	0.753	0.25	0.075	0.62	0.552	0.238	0.419	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.235	0.0
AGAP010426	0.104	0.995	0.268	0.897	0.057	0.948	0.941	0.881	0.466	0.112	0.957	0.207	0.739	0.874	0.218	0.899	0.06	0.035
AGAP011962	0.104	0.001	0.265	0.143	0.013	0.719	0.479	0.862	0.473	0.293	0.509	0.099	0.786	0.533	0.332	0.251	0.215	0.0
AGAP001002	0.104	0.069	0.532	0.045	0.0	0.029	0.0	0.0	0.0	0.405	0.002	0.364	0.0	0.736	0.013	0.001	0.069	0.0
AGAP005584	0.104	0.979	0.136	0.0	0.058	0.496	0.071	0.023	0.093	0.698	0.551	0.608	0.5	0.964	0.937	0.452	0.586	0.365
AGAP000472	0.104	0.751	0.003	0.517	0.043	0.044	0.0	0.0	0.0	0.0	0.083	0.0	0.624	0.0	0.128	0.308	0.049	0.0
AGAP004433	0.104	0.661	0.409	0.034	0.545	0.36	0.396	0.001	0.003	0.795	0.975	0.249	0.075	0.288	0.115	0.036	0.279	0.694
AGAP002345	0.105	0.016	0.0	0.322	0.626	0.804	0.953	0.517	0.64	0.239	0.017	0.09	0.002	0.022	0.037	0.101	0.026	0.001
AGAP010213	0.105	0.067	0.081	0.046	0.611	0.321	0.115	0.285	0.798	0.395	0.646	0.909	0.163	0.146	0.829	0.956	0.247	0.75
AGAP011141	0.105	0.188	0.077	0.0	0.0	0.076	0.915	0.716	0.237	0.464	0.014	0.068	0.001	0.277	0.011	0.162	0.156	0.007
AGAP011604	0.105	0.727	0.0	0.0	0.697	0.567	0.001	0.0	0.002	0.138	0.023	0.433	0.151	0.21	0.039	0.001	0.718	0.066
AGAP005183	0.105	0.774	0.521	0.35	0.323	0.005	0.071	0.0	0.034	0.002	0.32	0.011	0.85	0.133	0.721	0.717	0.86	0.612
AGAP001251	0.105	0.367	0.067	0.491	0.476	0.0	0.69	0.0	0.022	0.404	0.001			0.52	0.001	0.0	0.022	0.0
AGAP007422	0.105	0.265	0.959	0.736	0.658	0.83	0.753	0.644	0.873	0.0	0.022	0.01	0.142	0.0	0.035	0.171	0.169	0.715
AGAP010767	0.105	0.417	0.479	0.0	0.0	0.97	0.447	0.851	0.057	0.027	0.165	0.044	0.231	0.003	0.036	0.712	0.987	0.049
AGAP028708	0.105	0.402	0.103	0.105	0.032	0.0	0.0	0.0	0.0	0.001	0.042	0.02	0.067	0.023	0.163	0.578	0.0	0.0
AGAP003364	0.105	0.532	0.009	0.0	0.0	0.316	0.729	0.822	0.772	0.821	0.406	0.866	0.456	0.24	0.619	0.013	0.15	0.0
AGAP004475	0.106	0.738	0.326	0.061	0.027	0.815	0.98	0.819	0.911	0.39	0.392	0.408	0.577	0.862	0.168	0.0	0.055	0.736
AGAP011331	0.106	0.014	0.034	0.034	0.002	0.936	0.837	0.944	0.062	0.289	0.593	0.098	0.919	0.112	0.909	0.056	0.281	0.0
AGAP001611	0.106	0.268	0.006	0.349	0.023	0.535	0.941	0.653	0.905	0.004	0.005	0.005	0.003	0.453	0.575	0.031	0.031	0.0
AGAP007064	0.106	0.001	0.656	0.0	0.0	0.775	0.386	0.972	0.144	0.041	0.336	0.119	0.461	0.575	0.049	0.725	0.002	0.686
