GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN018674	2.59	1.33	2.38	2.36	2.28
AFUN018841	-1.34	0.7	-1.19	-0.28	-1.15
AFUN021011	0.95	0.93	0.81	0.84	0.91
AFUN018529	2.88	0.39	2.11	1.03	0.92
AFUN021474	-1.08	-1.08	-1.17	-0.96	-1.18
AFUN022148	-1.59	-1.07	-1.01	-1.07	-1.19
AFUN003663	-0.93	-0.77	-0.77	-0.93	-1.03
AFUN021045	0.79	0.53	0.37	0.56	0.42
AFUN001837	-1.36	-0.66	-1.05	-0.8	-1.07
AFUN011548	1.45	0.96	1.31	1.26	1.25
AFUN011628	0.82	0.66	0.63	0.73	0.64
AFUN014520	1.18	0.48	0.6	0.56	0.89
AFUN000923	1.17	0.26	0.74	0.32	0.85
AFUN007561	1.17	1.14	0.67	0.95	0.73
AFUN004802	0.72	0.93	0.54	0.67	0.53
AFUN006183	0.6	0.42	0.32	0.25	0.33
AFUN009751	-1.34	-0.76	-1.42	-1.23	-1.38
AFUN008186	0.88	0.62	0.43	0.58	0.59
AFUN018845	1.21	0.67	0.81	0.79	0.95
AFUN003794	0.92	0.73	0.67	0.77	0.67
AFUN016148	1.24	0.45	0.8	0.68	0.8
AFUN007811	-1.11	-0.93	-0.21	-0.34	-0.29
AFUN021887	0.98	0.91	0.86	0.8	0.89
AFUN020455	-1.53	-0.8	-1.04	-0.85	-0.81
AFUN010677	0.52	0.93	0.69	0.91	0.88
AFUN009450	0.84	0.61	0.28	0.32	0.13
AFUN000835	-1.93	-0.55	-1.34	-1.2	-1.66
AFUN006862	1.2	0.93	0.87	1.03	1.06
AFUN006336	0.51	0.56	0.36	0.34	0.37
AFUN000768	-1.52	-1.19	-1.98	-1.41	-1.65
AFUN006582	0.85	0.83	0.75	0.79	0.74
AFUN001848	-1.56	-0.84	-1.87	-1.25	-1.44
AFUN008831	0.84	0.66	0.74	0.6	0.69
AFUN022353	-1.07	-0.9	-1.09	-1.04	-1.08
AFUN009456	1.15	1.04	0.72	0.83	0.73
AFUN004011	0.86	0.79	0.7	0.75	0.88
AFUN018554	2.94	-0.46	2.31	1.1	2.13
AFUN006730	-1.65	-0.99	-1.75	-1.58	-1.82
AFUN019146	2.48	2.27	2.64	2.39	2.29
AFUN000268	-1.58	-1.04	-1.04	-1.06	-1.5
AFUN022184	-1.45	-1.88	-1.54	-1.81	-1.58
AFUN017450	2.4	1.79	2.98	1.94	2.57
AFUN003355	0.9	1.01	0.7	0.78	0.74
AFUN019894	-0.82	-0.71	-1.02	-1.05	-1.16
AFUN006396	-0.79	-0.81	-0.7	-0.95	-0.89
AFUN017329	-3.29	-2.97	1.08	-0.03	0.34
AFUN015889	1.76	3.7	2.89	5.26	2.95
AFUN016642	-0.39	-0.36	-0.43	-0.39	-0.35
AFUN018819	3.97	0.69	1.98	2.44	2.66
AFUN003260	-0.83	-0.43	-0.91	-0.68	-0.92
AFUN010404	-0.91	-0.58	-0.74	-0.78	-0.7
AFUN008710	-1.13	-0.83	-1.19	-1.11	-1.4
AFUN009405	-1.08	-0.68	-0.9	-0.87	-1.12
AFUN020617	-2.48	-0.06	-1.95	-0.96	-1.8
AFUN005026	0.87	0.61	0.64	0.66	0.99
AFUN001373	0.92	0.77	0.77	0.75	0.63
AFUN004706	-1.23	-0.72	-1.12	-1.25	-1.23
AFUN002384	-1.42	-0.92	-1.34	-1.47	-1.44
AFUN020489	1.04	0.59	1.32	1.0	1.36
AFUN007617	0.94	0.7	0.57	0.63	0.5
AFUN016507	-1.87	-1.59	-2.1	-2.19	-1.94
AFUN006858	1.27	0.53	1.39	1.0	1.15
AFUN008351	-2.66	-2.51	-2.78	-2.69	-2.69
AFUN018834	-1.15	-1.86	-1.23	-1.38	-1.22
AFUN000394	-1.82	-1.79	-1.61	-1.68	-1.76
AFUN002382	-2.47	-1.18	-2.1	-2.02	-2.19
AFUN020685	-1.44	-0.53	-0.89	-0.96	-1.08
AFUN008499	-0.81	-0.33	-0.51	-0.39	-0.33
AFUN020935	0.56	0.05	0.38	0.2	0.17
AFUN001523	-1.02	-0.97	-1.35	-1.45	-1.38
AFUN011827	1.02	1.04	0.8	0.91	0.9
AFUN006916	-0.67	-0.7	-0.6	-0.56	-0.5
AFUN018654	1.56	1.49	0.97	1.28	1.44
AFUN009746	1.11	0.86	0.64	0.78	0.67
AFUN018909	0.72	0.11	0.44	0.32	0.53
AFUN007699	-0.76	-0.93	-0.98	-0.96	-1.07
AFUN011930	0.55	0.67	0.39	0.34	0.52
AFUN021308	-1.78	-0.92	-1.93	-1.74	-1.98
AFUN018843	0.91	0.78	0.41	0.46	0.65
AFUN015966	4.07	1.11	2.82	1.88	1.06
AFUN018645	0.64	0.46	0.26	0.23	0.28
AFUN009976	1.3	0.64	0.27	0.33	0.75
AFUN002752	-0.91	-0.69	-0.99	-0.89	-0.96
AFUN003466	0.67	0.8	0.09	0.22	0.33
AFUN021615	-1.24	-1.11	-1.38	-0.91	-1.25
AFUN016528	1.12	0.76	0.61	0.79	0.67
AFUN020799	0.62	0.34	0.4	0.39	0.63
AFUN000247	1.04	0.49	0.91	0.67	0.86
AFUN020788	-1.45	-1.16	-0.99	-1.16	-1.08
AFUN018723	-0.73	0.27	-0.86	-0.29	-0.82
AFUN003055	-0.82	-0.66	-0.6	-0.4	-0.42
AFUN000899	-1.27	-0.52	-1.33	-0.8	-1.21
AFUN019783	-5.12	-1.66	-3.54	-3.29	-4.08
