GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP008116	-0.62	-0.13	0.4	-5.04	-4.39	-2.16	-2.18	-1.91	-2.03	-0.33	-2.65	-0.03	-2.38	0.23	-2.1	-4.38	-2.99	-0.29	3.1	0.51	1.02	-0.2	1.36
AGAP012711	0.68	0.86	0.55	-0.8	0.7	-0.66	-0.12	-0.09	-0.68	1.41	-2.77	0.02	-4.17	-0.82	-4.99	0.24	0.42	0.28	-0.01	-0.12	-0.16	-1.55	-0.09
AGAP008767	0.46	0.89	-0.5	-0.18	-0.13	0.32	-0.64	-0.59	-0.54	0.24	0.0	0.85	0.59	0.69	0.45	0.51	0.32	-2.01	-0.59	-0.52	-0.15	-0.3	-0.94
AGAP004423	0.15	0.01	-0.01	-0.1	-0.08	0.09	0.19	0.08	-0.05	-0.52	-0.34	-0.55	-0.38	-0.69	-0.51	-0.33	-0.3	0.09	-0.09	-0.09	-0.08	-0.15	0.14
AGAP008619	0.25	-0.28	0.22	-0.11	-0.03	-0.23	-0.06	-0.15	0.13	0.2	-0.73	0.1	-0.84	0.25	-0.68	0.08	-0.15	0.11	-0.37	-0.1	-0.47	-0.18	-0.56
AGAP011808	-1.64	-0.68	-1.11	-0.25	0.37	0.49	1.29	1.59	1.22	0.04	1.44	0.56	1.94	0.9	2.3	1.24	0.57	-1.59	6.01	2.49	2.13	-1.41	2.43
AGAP012227	0.47	0.43	0.03	0.47	0.39	-0.01	-0.02	-0.12	0.2	-1.22	-0.3	-0.59	0.32	-0.56	0.37	0.62	-0.11	-0.02	-0.12	-0.73	0.01	0.57	0.3
AGAP003680	-0.21	-0.04	-0.23	0.3	-0.11	-0.11	0.62	1.79	2.16	-0.58	0.2	-0.11	0.66	0.18	0.96	-0.63	-0.04	-2.07	0.99	0.66	0.59	0.77	0.19
AGAP004620	-1.31	-0.28	0.07	1.45	1.48	-0.73	-1.5	-2.21	-2.24	-0.84	5.45	-0.39	5.88	-0.51	5.76	2.38	-0.2	1.71	0.52	0.98	1.18	-0.3	-1.6
AGAP010255	-1.4	0.33	0.26	-1.18	-1.21	0.62	0.73	2.55	2.35	-2.19	-2.89	-2.48	-3.19	-1.73	-2.43	-0.61	-1.23	0.81	-0.09	-0.22	0.29	0.16	0.59
AGAP013382	1.68	-0.63	-0.53	1.38	-0.71	2.1	2.73	5.55	5.58	-0.61	-0.9	0.52	0.19	2.09	1.81	-0.54	0.21	-2.17	-1.95	-3.09	-3.82	0.51	1.6
AGAP011336	0.15	0.03	0.03	-0.01	0.04	-0.01	0.55	0.27	0.14	-0.7	-0.29	-0.61	-0.22	-0.69	-0.28	0.05	-0.04	0.44	-0.08	-0.23	-0.39	0.4	0.04
AGAP005621	0.15	0.45	0.48	0.16	0.24	-0.07	-0.1	0.33	0.21	0.63	1.22	0.85	1.44	0.84	1.44	0.12	0.5	-0.17	0.75	0.47	0.92	1.5	-0.07
