GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu
AGAP008504	-0.48	-0.95	-0.65	0.19	0.22	0.17	0.28	-0.5	-0.42	0.35	-0.33	0.05	-0.64	-0.19	-0.86	0.67	-0.4	0.09
AGAP005273	0.59	0.12	-0.59	-0.24	-0.18	0.44	1.23	1.15	1.12	0.27	-0.42	0.98	0.28	0.62	-0.08	0.28	0.41	-0.03
AGAP007721	-0.16	0.19	0.18	-0.05	0.16	-0.14	-0.12	0.11	0.07	0.21	0.25	0.3	0.33	0.1	0.14	0.12	0.31	0.09
AGAP011496	-0.28	-0.39	0.32	-0.34	-0.89	0.23	0.35	-0.29	0.2	0.0	-1.48	-0.31	-1.8	-0.95	-2.44	-0.21	-0.27	-0.46
AGAP004531	-1.81	-0.43	1.45	-0.01	-1.63	1.82	-0.19	5.98	5.27	-0.77	-4.69	-2.21	-6.14	-2.03	-5.95	-0.63	-1.98	4.57
AGAP000147	-0.17	-0.38	0.05	-0.07	-0.37	0.24	0.69	-0.31	-0.07	-0.39	-0.49	-0.52	-0.64	-0.82	-0.91	0.02	-0.34	-0.37
AGAP006828	-1.49	2.14	-0.62	0.26	2.03	3.98	3.76	4.6	5.1	-2.24	-0.6	-2.0	-0.39	-2.07	-0.44	1.08	-1.33	1.43
AGAP008405	-0.18	-0.25	0.21	-0.08	0.17	-0.11	-0.19	-0.05	0.2	0.47	0.21	0.44	0.17	0.44	0.19	-0.3	-0.18	-0.16
AGAP002821	0.3	0.31	0.1	-0.12	0.19	0.12	-0.05	-0.1	-0.03	0.34	-0.05	0.39	-0.02	0.27	-0.12	0.27	0.26	-0.05
AGAP013244	0.41	0.18	-0.17	0.4	0.35	0.2	-0.48	-0.03	0.12	0.09	-0.58	0.15	-0.54	0.46	-0.2	1.01	0.71	-0.12
AGAP004820	0.29	0.42	0.27	0.31	0.42	0.04	-0.06	0.16	0.14	0.0	0.18	0.11	0.28	0.0	0.18	0.32	-0.11	0.8
AGAP005565	0.21	0.15	0.31	-0.15	-0.28	-0.42	-0.4	-1.03	-0.97	0.19	-0.49	-0.23	-0.93	-0.1	-0.78	-0.1	-0.05	-0.53
AGAP013472	1.67	1.22	-1.24	-1.06	0.19	0.98	0.38	0.46	0.11	1.12	1.34	0.88	1.09	0.11	0.36	-1.89	3.02	-5.72
AGAP028101	-0.24	-0.29	-0.12	0.1	0.06	0.04	-0.07	0.04	0.29	0.49	0.04	0.6	0.14	0.62	0.17	0.12	-0.03	0.5
AGAP008523	-0.39	-0.02	0.47	-0.73	-0.13	0.06	0.03	-0.06	0.14	0.04	-0.83	0.11	-0.78	0.81	-0.05	-0.19	-0.11	0.05
AGAP006740	-0.2	-0.05	-0.04	0.17	0.47	0.22	0.04	0.11	0.12	0.22	-0.24	0.15	-0.32	0.19	-0.27	0.24	0.3	-0.84
AGAP008050	0.25	-0.04	-0.2	0.04	-0.1	0.17	0.08	0.11	0.22	-0.27	0.04	-0.1	0.2	-0.05	0.26	0.12	0.14	-0.02
AGAP000843	0.19	-0.16	0.21	0.08	0.05	0.06	0.08	0.34	0.38	0.13	0.62	0.24	0.72	0.23	0.72	0.04	0.03	0.73
