GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN000835	0.0	0.32	0.0	0.04	0.0
AFUN006862	0.0	0.008	0.0	0.0	0.0
AFUN006336	0.0	0.0	0.002	0.111	0.001
AFUN000768	0.0	0.018	0.0	0.0	0.0
AFUN006582	0.0	0.003	0.0	0.0	0.0
AFUN001848	0.0	0.0	0.0	0.017	0.0
AFUN008831	0.0	0.045	0.0	0.004	0.0
AFUN022353	0.0	0.0	0.0	0.0	0.0
AFUN009456	0.0	0.001	0.0	0.0	0.0
AFUN004011	0.0	0.0	0.0	0.0	0.0
AFUN018554	0.0	0.575	0.0	0.142	0.0
AFUN006730	0.0	0.196	0.0	0.0	0.0
AFUN019146	0.0	0.0	0.0	0.0	0.0
AFUN000268	0.0	0.006	0.0	0.002	0.0
AFUN022184	0.0	0.0	0.0	0.0	0.001
AFUN017450	0.0	0.001	0.001	0.002	0.0
AFUN003355	0.0	0.0	0.0	0.001	0.0
AFUN019894	0.0	0.0	0.0	0.0	0.0
AFUN006396	0.0	0.036	0.0	0.0	0.0
AFUN017329	0.0	0.0	0.223	0.987	0.82
AFUN015889	0.0	0.0	0.0	0.0	0.0
AFUN016642	0.0	0.091	0.002	0.127	0.044
AFUN018819	0.0	0.487	0.011	0.0	0.0
AFUN003260	0.0	0.026	0.0	0.0	0.0
AFUN010404	0.0	0.182	0.0	0.0	0.0
AFUN008710	0.0	0.161	0.0	0.0	0.0
AFUN009405	0.0	0.24	0.011	0.001	0.0
AFUN020617	0.0	0.952	0.0	0.156	0.0
AFUN005026	0.0	0.029	0.0	0.0	0.0
AFUN001373	0.0	0.0	0.0	0.0	0.001
AFUN004706	0.0	0.021	0.0	0.0	0.0
AFUN002384	0.0	0.307	0.0	0.002	0.0
AFUN020489	0.0	0.02	0.0	0.0	0.0
AFUN007617	0.0	0.028	0.0	0.0	0.0
AFUN016507	0.0	0.0	0.0	0.0	0.0
AFUN006858	0.0	0.216	0.0	0.002	0.0
AFUN008351	0.0	0.0	0.0	0.0	0.0
AFUN018834	0.0	0.0	0.0	0.0	0.0
AFUN000394	0.0	0.001	0.0	0.0	0.0
AFUN002382	0.0	0.175	0.0	0.0	0.0
AFUN020685	0.0	0.195	0.003	0.028	0.0
AFUN008499	0.0	0.05	0.0	0.101	0.296
AFUN020935	0.0	0.822	0.003	0.02	0.271
AFUN001523	0.0	0.001	0.0	0.0	0.0
AFUN011827	0.0	0.0	0.0	0.0	0.0
AFUN006916	0.0	0.003	0.0	0.001	0.01
AFUN018654	0.0	0.0	0.0	0.0	0.0
AFUN009746	0.0	0.002	0.004	0.0	0.002
AFUN018909	0.0	0.695	0.001	0.124	0.004
AFUN007699	0.0	0.034	0.0	0.0	0.0
AFUN011930	0.0	0.0	0.0	0.024	0.0
AFUN021308	0.0		0.0	0.0	0.0
AFUN018843	0.0	0.005	0.039	0.124	0.044
AFUN015966	0.0	0.309	0.0	0.195	0.275
AFUN018645	0.0	0.007	0.124	0.159	0.137
AFUN009976	0.0	0.059	0.375	0.469	0.163
AFUN002752	0.0	0.032	0.0	0.0	0.0
AFUN003466	0.0	0.01	0.54	0.391	0.104
AFUN021615	0.0	0.007	0.0	0.0	0.0
AFUN016528	0.0	0.021	0.003	0.0	0.0
AFUN020799	0.0	0.098	0.03	0.079	0.078
AFUN000247	0.0	0.185	0.0	0.0	0.0
AFUN020788	0.0	0.0	0.0	0.0	0.001
AFUN018723	0.0	0.107	0.0	0.348	0.0
AFUN003055	0.0	0.152	0.006	0.124	0.258
AFUN000899	0.0	0.232	0.0	0.0	0.0
AFUN019783	0.0	0.484	0.001	0.008	0.0
AFUN003723	0.0	0.976	0.0	0.066	0.0
AFUN014198	0.0	0.0	0.0	0.0	0.0
AFUN007754	0.0	0.424	0.059	0.221	0.181
AFUN006329	0.0	0.004	0.0	0.0	0.0
AFUN009369	0.0	0.249	0.001	0.083	0.368
